,HC1,A1preES,A1postES,HC2,HC3,A2_1,A2_2,A3_1,A3_2,B1,HC4,A4preES,A4postES,HC5,HC6,A5,B2
A,0.895313197440857,1.0028350168350169,1.1254109002513741,0.9494982558812346,0.7003066694758527,0.7032408814810802,1.1203669937346705,0.6584580931150688,0.9412936410660144,0.940780197399342,0.5922885248470451,1.1573504273504276,1.1187792548941657,0.6960356428441535,0.5916636554934428,1.433741328699312,0.8837311148235518
B,1.0256062493071902,1.440398406374502,1.614017948261648,1.2560755341970906,1.1063947482798133,1.2781597403833438,1.4684954441546734,1.1798980703097561,1.3136288998357966,1.2827323679250657,1.039760124866508,1.3571428571428572,1.418857325876469,1.1785763267184122,1.0424489459301067,1.5683889527625496,1.4913005719022785
C,1.1696153535001526,1.5904689480354879,1.7087542671588356,1.3650750188247156,1.1258072803155212,1.4365264547029524,1.5597349501264766,1.4213222368224812,1.6517292051621537,1.4758468314360125,1.1299655412224239,1.7866453674121403,1.9162627529650689,1.3412673927934617,1.1435412499242288,1.7036358703025372,1.4654807792062694
G,1.198090967719445,1.3077008928571427,1.504534510433387,1.1651960043698573,1.0451729700383163,1.13450767309958,1.3499224433618071,1.1508570035054566,1.5359041613280886,1.0655266847525062,0.9586617179810843,1.225871687587169,1.3471925697397766,1.0486106307245433,1.0758404521253722,1.5030731979884524,0.9968103929968337
H,0.46087296422825946,1.0093971631205674,1.2439535289668147,0.777814534944458,0.7386041572729881,0.6278581579607342,0.9435670259436386,0.6438101017624764,0.9913521204798279,0.953276218396351,0.6385285302136275,0.9611832319134549,1.0938462078950337,0.6439207673179963,0.6077601692547203,1.2033913002349157,0.7067573746196415
I,0.7707068927227554,1.0156687898089172,1.1651287681418292,0.970649556433538,0.7555053559003106,0.7619197744322304,1.2426117383848978,0.7974707871572748,1.2878025461681681,1.1978720802250216,0.6746689793797768,1.3456004140786748,1.2328088462605522,0.8418746803667129,0.5760867702442926,1.3614798877062628,0.7479364975648689
K,0.8754605951072522,1.2686698717948717,1.3360848643152654,1.2372823199063172,0.8575363652271099,1.055470066681322,1.2562542258282623,1.0294216488150738,1.2271136571339412,1.3197363826167072,0.8755946280802117,1.389213395638629,1.3971813459137186,1.1040082903773498,0.8820087558293833,1.347013437126078,1.2969508589032996
L,0.9299016346942841,1.3528316151202746,1.5609675873281394,1.1008567720770268,0.8486446093794708,1.1246776294977723,1.3345985673819247,1.0676830608710572,1.3820021441972663,1.3466990923949318,0.9226835085478815,1.3401308539944903,1.3215230116696925,1.0155347553800163,0.8179609284943725,1.2887764488199323,1.1974491265468439
N,0.9186585721716846,1.4290180878552972,1.397883939991379,1.0630907522297923,0.9342956634896918,1.001573530276546,1.3072385424270525,0.9912175146114934,1.2932948348514937,1.3673247230117018,0.8288118198655364,1.2341316270566727,1.5051547594931851,0.9138702959609747,0.8157893596245782,1.4403754812961973,1.3205875632207222
Q,1.0764522035730737,1.415475687103594,1.4459133375558786,1.146930134965325,1.0028942007315287,1.0881189143056653,1.3671350893298497,1.077513111201834,1.363753646254882,1.4177548847593338,0.9620911003889727,1.3276911976911976,1.193504915018133,1.0407429449982641,0.855003556457906,1.2992343967772115,1.153593862082321
mean,0.9320678630464954,1.2832464478905672,1.410264965240455,1.1032468883829356,0.9115162020110603,1.0212052822821227,1.2949925020673254,1.001765162817197,1.2987874856477633,1.2367549462916974,0.8623054475393068,1.3124961059865714,1.3545110989725795,0.9824441727481885,0.8408103843378403,1.414911030171345,1.1260598141866631
s.d,0.21333207166416723,0.20781689105216872,0.1938008828718429,0.1713888106702541,0.15504313882999204,0.2562876939125975,0.17268166725644388,0.24236672508975876,0.2159640023316269,0.19057053729705534,0.17811058448196265,0.20974125882047673,0.23795693172948507,0.21394744791326414,0.20468273759520966,0.14802014678361633,0.28200219550479927
sem,0.06746152444210357,0.0657174711979919,0.06128522024265375,0.05419790071853725,0.04902894542844684,0.08104528490358785,0.05460673786856819,0.07664308803195151,0.06829381399738556,0.0602636952780763,0.05632351223468433,0.06632600971835875,0.07524858892903628,0.06765612349861531,0.06472636485194379,0.04680808034286743,0.08917692429632625
