,HC1,A1preES,A1postES,HC2,HC3,A2_1,A2_2,A3_1,A3_2,B1,HC4,A4preES,A4postES,HC5,HC6,A5,B2
A,0.9102420535791196,1.0148538011695907,1.1541044955140816,0.9636847847934075,0.7010738052026618,0.7121914205165585,1.1255726987151136,0.666200977272815,0.9499639936946438,0.9372412932784451,0.6013011507271482,1.1712856043110085,1.1221617386414255,0.7005703745421694,0.5987458743308545,1.4551418959690585,0.8850168973125521
B,1.0531378869202896,1.4463318777292573,1.6064654297349261,1.2702778035863607,1.136765428056965,1.314734923426394,1.4995555914673562,1.221458928702279,1.3531431803490628,1.298992673992674,1.0592665538572499,1.379420903954802,1.4464718878914762,1.2089137726777108,1.083045471652445,1.5695252459958342,1.512176862855596
C,1.197900184039497,1.616569847856155,1.723941454402278,1.377437165112631,1.1380792240268294,1.4639719808584892,1.582525701219442,1.43629001407372,1.6509395983961612,1.4648372351952006,1.1469779194303271,1.8170760233918128,1.9418724650202797,1.3466448445171852,1.1613714778608393,1.7217063540592954,1.4761460717343071
G,1.2115292876852068,1.3240579710144926,1.5170927644791834,1.1878547926383916,1.0715206002107003,1.1583680238587972,1.3797813439757174,1.1796118592715075,1.5702200612686545,1.0876802225907085,0.988664172618091,1.2515793470007595,1.3725697939291204,1.0641381642753456,1.091442157030573,1.5329736893877424,1.0006671212755478
H,0.4752901543986452,1.0408481764206956,1.2454856061291377,0.7735327311419564,0.7585802368090797,0.654654607501387,0.981615723212362,0.6808900962011536,1.0231400252408656,0.9851171237725861,0.6478720316820911,0.9708695652173912,1.121448923062018,0.6670130313792196,0.6222334734503723,1.1973666057457848,0.7223387418055214
I,0.8360816747126654,1.0402322404371582,1.1754801043558862,1.0206997397440367,0.7779322460173524,0.7797886760296082,1.257683946759577,0.8262836840546228,1.2926376371754522,1.1571784348802132,0.7113787867294289,1.397479674796748,1.2601070176608786,0.8837886791046663,0.6103513445140553,1.3827642945290004,0.7561849914791093
K,0.8839911929615646,1.2708182601205857,1.3351187994506981,1.244874022019446,0.8647138559195953,1.0567769455095963,1.2530688668040162,1.0201099792408228,1.2294174964415476,1.3211491493148984,0.8817614057372711,1.3836898839137646,1.3878283003586716,1.1132919689604353,0.8874648859888276,1.329166945292706,1.2883296554696149
L,0.9349219465509192,1.35941431670282,1.5689802794843757,1.1115316862962046,0.8649765314947271,1.1404572244807847,1.3549483841076875,1.0839669521292705,1.3994967415820736,1.3515567996759617,0.9412307090731481,1.3360835133189344,1.326669436180748,1.0343345363794791,0.8205691357372895,1.2856795323588495,1.192665651868688
N,0.9393897639779942,1.448370978781656,1.4124857975550267,1.0839435805576747,0.9492891712505831,1.006289999460798,1.3166810991450284,1.0077520665956026,1.302301472112793,1.382731031454672,0.8397409968075773,1.2415145754119137,1.5109430455354835,0.933457275216333,0.8171772712325509,1.4398868332039234,1.3363843489148048
Q,1.1002450312305025,1.429031781226903,1.467752160421741,1.1740266169756446,1.0175050237101775,1.10348343303261,1.3892230351131793,1.0972501051828583,1.3851490672682725,1.4415496203575677,0.9789556079054107,1.3419374523264682,1.1978059571663096,1.0568000089885283,0.8768794326241135,1.30294476765065,1.1585865115276879
mean,0.9542729176056405,1.2990529251459315,1.4206906891527336,1.1207862922865752,0.9280436122698669,1.0390717234675022,1.314065639051948,1.0219814662724651,1.3156409273529526,1.2428033584512925,0.8797149334567743,1.3290936543643603,1.3687878565446412,1.0008952656041075,0.8569280524421921,1.4217156164192846,1.1328496854243428
s.d,0.21278186234962462,0.20580233171016224,0.19126896271265087,0.17245744517913808,0.15898105565381815,0.26000704915325884,0.173549477897406,0.2420340700052583,0.215489959114435,0.18875812619811366,0.1796217180510921,0.21484808159925067,0.24033934401725304,0.21177160144198837,0.20698471720339476,0.1558828864629459,0.2830137567136046
sem,0.0672875329797241,0.06508041159776085,0.060484556786979456,0.05453583262197013,0.05027422406840549,0.0822214483023652,0.054881163688885286,0.0765378932577258,0.06814390836981751,0.05969056056515385,0.05680137462740318,0.06794092887713434,0.07600197384452821,0.06696806042980816,0.06545431472085649,0.049294496946433765,0.08949680803757605
